product_id,category,geography,marketing_channel,return_risk_score,total_orders,total_returns,return_rate
P00001,Clothing,North America,Organic,0.1442670678907451,1,0,0.0
P00002,Toys,North America,Social Media,0.1851974023830886,1,0,0.0
P00003,Home,North America,Email,0.1526061179328088,1,0,0.0
P00004,Clothing,Europe,Organic,0.1461942086912486,1,0,0.0
P00005,Electronics,Europe,Email,0.1339389204119235,1,0,0.0
P00006,Electronics,Asia,Organic,0.1368601948992849,1,0,0.0
P00007,Electronics,North America,Referral,0.1546092241178282,1,0,0.0
P00008,Books,Europe,Social Media,0.1686525524541585,1,0,0.0
P00009,Home,Asia,Organic,0.1355910783412865,1,1,1.0
P00010,Home,Asia,Social Media,0.1480320848109101,1,0,0.0
P00011,Electronics,Asia,Email,0.1305211366037571,1,0,0.0
P00012,Toys,Asia,Social Media,0.1465346843856711,1,0,0.0
P00013,Books,South America,Social Media,0.1669291756704501,1,0,0.0
P00014,Electronics,North America,Email,0.147972749824969,1,0,0.0
P00015,Electronics,Europe,Email,0.1354116876686066,1,0,0.0
P00016,Electronics,North America,Paid Ads,0.1590159766127144,1,0,0.0
P00017,Clothing,North America,Organic,0.1597458292413731,1,1,1.0
P00018,Clothing,North America,Referral,0.1569210018041597,1,0,0.0
P00019,Clothing,North America,Organic,0.1472406873072873,1,0,0.0
P00020,Electronics,North America,Social Media,0.1802491345333572,1,0,0.0
P00021,Home,North America,Email,0.146393740636601,1,0,0.0
P00022,Electronics,North America,Email,0.1379004270353228,1,0,0.0
P00023,Electronics,South America,Email,0.1425676530692107,1,0,0.0
P00024,Clothing,North America,Organic,0.1448891067759564,1,0,0.0
P00025,Clothing,Asia,Organic,0.1257305603636549,1,0,0.0
P00026,Home,North America,Email,0.1437707515260331,1,1,1.0
P00027,Electronics,South America,Social Media,0.177039112627581,1,0,0.0
P00028,Clothing,Asia,Social Media,0.1500554179356548,1,1,1.0
P00029,Clothing,Europe,Social Media,0.1562203931681227,1,0,0.0
P00030,Electronics,Europe,Social Media,0.161609751659383,1,0,0.0
P00031,Home,North America,Organic,0.1379451612389232,1,0,0.0
P00032,Electronics,Australia,Social Media,0.1561781688757702,1,0,0.0
P00033,Electronics,Asia,Organic,0.1367143296272934,1,1,1.0
P00034,Toys,Asia,Email,0.1174404379555341,1,1,1.0
P00035,Toys,Europe,Social Media,0.166037325322963,1,1,1.0
P00036,Books,North America,Paid Ads,0.1505649662432289,1,0,0.0
P00037,Clothing,Asia,Organic,0.1342717829779079,1,0,0.0
