order_id,product_id,category,geography,marketing_channel,price,order_date
1,P00001,Clothing,North America,Organic,68.47,2024-11-23
2,P00002,Toys,North America,Social Media,207.02,2024-02-27
3,P00003,Home,North America,Email,183.28,2024-01-13
4,P00004,Clothing,Europe,Organic,136.55,2024-05-20
5,P00005,Electronics,Europe,Email,82.85,2024-05-05
6,P00006,Electronics,Asia,Organic,160.03,2024-04-24
7,P00007,Electronics,North America,Referral,43.33,2024-03-12
8,P00008,Books,Europe,Social Media,153.83,2024-02-22
9,P00009,Home,Asia,Organic,146.4,2024-12-12
10,P00010,Home,Asia,Social Media,92.43,2024-10-06
11,P00011,Electronics,Asia,Email,156.96,2024-02-14
12,P00012,Toys,Asia,Social Media,77.64,2024-10-29
13,P00013,Books,South America,Social Media,36.75,2024-08-04
14,P00014,Electronics,North America,Email,148.9,2024-01-17
15,P00015,Electronics,Europe,Email,95.74,2024-01-16
16,P00016,Electronics,North America,Paid Ads,130.09,2024-02-17
17,P00017,Clothing,North America,Organic,191.04,2024-04-21
18,P00018,Clothing,North America,Referral,63.89,2024-04-29
19,P00019,Clothing,North America,Organic,92.83,2024-09-15
20,P00020,Electronics,North America,Social Media,178.48,2024-11-04
21,P00021,Home,North America,Email,133.44,2024-01-14
22,P00022,Electronics,North America,Email,65.01,2024-10-14
23,P00023,Electronics,South America,Email,52.25,2024-04-11
24,P00024,Clothing,North America,Organic,73.6,2024-11-28
25,P00025,Clothing,Asia,Organic,63.08,2024-12-25
26,P00026,Home,North America,Email,111.87,2024-10-06
27,P00027,Electronics,South America,Social Media,103.92,2024-08-02
28,P00028,Clothing,Asia,Social Media,113.96,2024-04-22
29,P00029,Clothing,Europe,Social Media,57.96,2024-08-17
30,P00030,Electronics,Europe,Social Media,96.46,2024-10-28
31,P00031,Home,North America,Organic,10.0,2024-05-22
32,P00032,Electronics,Australia,Social Media,107.25,2024-01-04
33,P00033,Electronics,Asia,Organic,158.77,2024-03-22
34,P00034,Toys,Asia,Email,28.76,2024-12-23
35,P00035,Toys,Europe,Social Media,124.17,2024-08-04
36,P00036,Books,North America,Paid Ads,69.45,2024-06-23
37,P00037,Clothing,Asia,Organic,140.13,2024-05-22
38,P00038,Electronics,North America,Social Media,107.93,2024-03-20
39,P00039,Home,Europe,Paid Ads,120.24,2024-04-20
40,P00040,Clothing,North America,Social Media,103.24,2024-06-21
41,P00041,Electronics,South America,Social Media,166.42,2024-02-22
42,P00042,Clothing,North America,Organic,117.37,2024-02-17
43,P00043,Electronics,North America,Organic,64.73,2024-07-13
44,P00044,Toys,Europe,Social Media,104.94,2024-02-19
45,P00045,Electronics,Asia,Social Media,81.56,2024-07-02
46,P00046,Home,Europe,Paid Ads,108.12,2024-06-25
47,P00047,Clothing,North America,Email,79.01,2024-11-05
48,P00048,Clothing,North America,Social Media,66.16,2024-05-15
49,P00049,Clothing,Asia,Organic,109.96,2024-01-23
50,P00050,Electronics,Australia,Paid Ads,102.79,2024-08-23
51,P00051,Toys,Asia,Social Media,153.2,2024-10-01
52,P00052,Home,Europe,Organic,79.25,2024-03-04
53,P00053,Toys,South America,Organic,10.0,2024-07-12
54,P00054,Books,Europe,Email,81.81,2024-02-10
55,P00055,Clothing,Europe,Organic,18.68,2024-10-09
56,P00056,Toys,Europe,Referral,120.78,2024-05-30
57,P00057,Electronics,Europe,Social Media,16.31,2024-11-17
58,P00058,Electronics,Asia,Social Media,50.58,2024-11-12
59,P00059,Electronics,Europe,Paid Ads,81.88,2024-07-04
60,P00060,Clothing,North America,Organic,177.2,2024-10-22
61,P00061,Clothing,North America,Email,46.36,2024-04-08
62,P00062,Electronics,North America,Organic,100.62,2024-12-26
63,P00063,Books,Europe,Organic,129.0,2024-02-05
64,P00064,Clothing,North America,Organic,174.2,2024-01-24
65,P00065,Electronics,North America,Paid Ads,138.89,2024-12-04
66,P00066,Clothing,Europe,Email,154.7,2024-04-26
67,P00067,Electronics,Europe,Social Media,143.22,2024-05-28
68,P00068,Books,Asia,Organic,39.54,2024-02-10
69,P00069,Electronics,Europe,Email,117.98,2024-04-29
70,P00070,Toys,Asia,Organic,142.43,2024-02-21
71,P00071,Home,South America,Email,52.17,2024-07-13
72,P00072,Electronics,Asia,Social Media,71.01,2024-05-22
73,P00073,Electronics,Europe,Email,59.84,2024-08-20
74,P00074,Books,North America,Organic,138.63,2024-11-21
75,P00075,Home,Australia,Organic,96.54,2024-07-05
76,P00076,Home,North America,Email,83.96,2024-03-24
77,P00077,Home,North America,Social Media,35.92,2024-07-08
78,P00078,Electronics,Europe,Email,96.63,2024-06-30
79,P00079,Clothing,North America,Organic,71.62,2024-04-17
80,P00080,Electronics,Australia,Email,112.17,2024-12-09
81,P00081,Books,Europe,Organic,42.85,2024-05-16
82,P00082,Home,Europe,Organic,108.9,2024-12-25
83,P00083,Clothing,Europe,Social Media,78.05,2024-12-15
84,P00084,Electronics,Europe,Organic,37.54,2024-11-27
85,P00085,Clothing,North America,Social Media,33.64,2024-02-06
86,P00086,Clothing,Europe,Organic,41.15,2024-11-07
87,P00087,Home,Asia,Social Media,89.68,2024-11-21
88,P00088,Home,Europe,Social Media,106.05,2024-03-28
89,P00089,Books,Asia,Organic,113.49,2024-09-30
90,P00090,Clothing,North America,Email,115.38,2024-05-05
91,P00091,Electronics,North America,Organic,62.07,2024-03-24
92,P00092,Home,North America,Organic,152.92,2024-08-24
93,P00093,Home,North America,Organic,77.89,2024-07-13
94,P00094,Clothing,Asia,Email,122.51,2024-05-18
95,P00095,Home,Asia,Organic,91.79,2024-11-23
96,P00096,Clothing,North America,Organic,118.78,2024-12-18
97,P00097,Clothing,Europe,Email,89.28,2024-10-12
98,P00098,Clothing,Asia,Organic,119.68,2024-04-22
99,P00099,Electronics,North America,Paid Ads,99.63,2024-12-16
100,P00100,Electronics,North America,Social Media,140.69,2024-06-15
101,P00101,Electronics,Australia,Paid Ads,59.07,2024-01-29
102,P00102,Home,Europe,Social Media,11.51,2024-04-27
103,P00103,Clothing,Australia,Email,51.33,2024-01-17
104,P00104,Clothing,North America,Social Media,153.45,2024-06-10
105,P00105,Toys,Asia,Organic,92.27,2024-07-24
106,P00106,Electronics,North America,Social Media,104.6,2024-05-17
107,P00107,Clothing,North America,Paid Ads,47.32,2024-02-03
108,P00108,Home,Europe,Paid Ads,103.28,2024-04-18
109,P00109,Electronics,North America,Organic,48.86,2024-10-17
110,P00110,Electronics,North America,Email,56.21,2024-06-10
111,P00111,Electronics,North America,Paid Ads,79.88,2024-04-18
112,P00112,Electronics,North America,Paid Ads,122.25,2024-12-01
113,P00113,Toys,Asia,Email,127.59,2024-09-12
114,P00114,Books,Europe,Organic,128.95,2024-07-21
115,P00115,Home,North America,Organic,20.6,2024-11-25
116,P00116,Books,North America,Organic,99.67,2024-08-22
117,P00117,Books,North America,Email,90.16,2024-03-14
118,P00118,Electronics,Europe,Email,23.39,2024-05-15
119,P00119,Books,North America,Social Media,100.8,2024-03-12
120,P00120,Clothing,Asia,Email,87.48,2024-05-06
121,P00121,Books,North America,Organic,125.58,2024-10-14
122,P00122,Books,North America,Referral,104.06,2024-10-02
123,P00123,Clothing,Asia,Referral,72.53,2024-05-14
124,P00124,Electronics,Asia,Organic,146.29,2024-10-26
125,P00125,Electronics,North America,Organic,10.0,2024-08-07
126,P00126,Clothing,Asia,Social Media,96.79,2024-10-25
127,P00127,Books,Europe,Organic,11.84,2024-07-23
128,P00128,Books,Asia,Social Media,54.39,2024-07-04
129,P00129,Electronics,Europe,Social Media,126.24,2024-04-22
130,P00130,Clothing,Europe,Organic,36.29,2024-03-11
131,P00131,Clothing,Australia,Email,28.81,2024-09-17
132,P00132,Electronics,North America,Social Media,219.1,2024-09-09
133,P00133,Electronics,Europe,Paid Ads,32.04,2024-02-16
134,P00134,Clothing,Europe,Email,182.53,2024-01-25
135,P00135,Toys,North America,Social Media,91.39,2024-02-26
136,P00136,Clothing,North America,Social Media,73.76,2024-03-19
137,P00137,Clothing,North America,Social Media,128.34,2024-11-17
138,P00138,Home,Europe,Social Media,166.83,2024-03-22
139,P00139,Clothing,Europe,Organic,42.7,2024-12-14
140,P00140,Toys,Europe,Email,74.49,2024-08-04
141,P00141,Toys,North America,Paid Ads,142.34,2024-11-01
142,P00142,Electronics,Europe,Social Media,114.4,2024-02-02
143,P00143,Clothing,South America,Email,155.1,2024-07-16
144,P00144,Clothing,North America,Organic,125.76,2024-07-14
145,P00145,Electronics,Europe,Organic,190.41,2024-11-01
146,P00146,Electronics,Asia,Organic,108.93,2024-08-27
147,P00147,Home,Asia,Paid Ads,111.09,2024-09-27
148,P00148,Clothing,Europe,Social Media,116.09,2024-05-08
149,P00149,Electronics,Asia,Email,92.88,2024-10-10
150,P00150,Electronics,North America,Paid Ads,142.4,2024-01-06
151,P00151,Toys,Asia,Social Media,111.85,2024-12-14
152,P00152,Electronics,North America,Social Media,139.41,2024-02-28
153,P00153,Electronics,North America,Social Media,147.22,2024-12-15
154,P00154,Clothing,North America,Organic,121.42,2024-10-01
155,P00155,Toys,Asia,Social Media,125.09,2024-05-16
156,P00156,Electronics,Europe,Social Media,49.48,2024-11-24
157,P00157,Home,North America,Email,72.48,2024-06-23
158,P00158,Home,North America,Organic,142.17,2024-02-27
159,P00159,Electronics,South America,Social Media,171.18,2024-05-30
160,P00160,Home,Asia,Email,10.0,2024-08-10
161,P00161,Clothing,Europe,Organic,71.61,2024-03-21
162,P00162,Home,Europe,Paid Ads,101.18,2024-08-20
163,P00163,Home,Europe,Organic,56.04,2024-01-02
164,P00164,Clothing,North America,Organic,58.87,2024-05-14
165,P00165,Electronics,South America,Email,123.75,2024-09-13
166,P00166,Books,North America,Social Media,179.07,2024-04-01
167,P00167,Clothing,Europe,Email,10.0,2024-09-16
168,P00168,Electronics,North America,Paid Ads,91.48,2024-02-24
169,P00169,Electronics,Europe,Email,123.16,2024-11-16
170,P00170,Clothing,Europe,Paid Ads,139.01,2024-06-01
171,P00171,Home,Europe,Referral,115.96,2024-11-23
172,P00172,Electronics,North America,Social Media,188.07,2024-09-16
173,P00173,Clothing,Europe,Social Media,101.45,2024-11-07
174,P00174,Electronics,North America,Social Media,165.6,2024-04-11
175,P00175,Home,North America,Email,67.68,2024-03-19
176,P00176,Electronics,North America,Social Media,102.9,2024-07-10
177,P00177,Home,Asia,Paid Ads,39.36,2024-03-23
178,P00178,Clothing,Europe,Social Media,145.04,2024-10-03
179,P00179,Toys,Europe,Email,93.98,2024-09-28
180,P00180,Electronics,Asia,Social Media,117.89,2024-01-01
181,P00181,Clothing,Europe,Paid Ads,84.33,2024-11-02
182,P00182,Electronics,Europe,Organic,129.32,2024-06-14
183,P00183,Toys,North America,Paid Ads,119.87,2024-09-07
184,P00184,Books,North America,Referral,50.27,2024-01-10
185,P00185,Electronics,Europe,Email,53.16,2024-02-27
186,P00186,Home,Europe,Social Media,98.61,2024-07-04
187,P00187,Books,Asia,Social Media,132.98,2024-06-06
188,P00188,Clothing,Asia,Social Media,193.14,2024-05-02
189,P00189,Clothing,North America,Organic,115.15,2024-01-30
190,P00190,Electronics,North America,Social Media,150.38,2024-05-03
191,P00191,Electronics,Europe,Social Media,19.36,2024-10-17
192,P00192,Books,North America,Organic,200.65,2024-02-10
193,P00193,Toys,North America,Organic,130.28,2024-02-13
194,P00194,Home,Asia,Organic,97.52,2024-09-05
195,P00195,Clothing,North America,Email,91.77,2024-02-05
196,P00196,Clothing,South America,Paid Ads,44.64,2024-09-29
197,P00197,Home,Asia,Organic,58.94,2024-03-05
198,P00198,Books,Asia,Social Media,195.52,2024-03-06
199,P00199,Books,North America,Organic,50.55,2024-12-03
200,P00200,Home,North America,Referral,49.59,2024-08-31
201,P00201,Home,Europe,Social Media,64.89,2024-10-08
202,P00202,Electronics,North America,Email,40.09,2024-03-25
203,P00203,Electronics,North America,Email,100.77,2024-05-15
204,P00204,Books,North America,Social Media,154.45,2024-09-27
205,P00205,Home,North America,Paid Ads,69.48,2024-11-06
206,P00206,Electronics,North America,Social Media,31.33,2024-08-04
207,P00207,Electronics,Asia,Organic,114.59,2024-04-18
208,P00208,Home,North America,Organic,97.21,2024-10-03
209,P00209,Electronics,North America,Organic,150.14,2024-12-19
210,P00210,Electronics,Europe,Social Media,77.27,2024-04-12
211,P00211,Clothing,Australia,Social Media,86.99,2024-12-31
212,P00212,Home,North America,Social Media,92.52,2024-06-08
213,P00213,Home,North America,Social Media,104.45,2024-07-23
214,P00214,Electronics,Europe,Email,80.37,2024-12-09
215,P00215,Home,South America,Paid Ads,72.27,2024-11-28
216,P00216,Electronics,Asia,Email,10.0,2024-07-10
217,P00217,Clothing,Europe,Organic,71.73,2024-08-12
218,P00218,Home,North America,Email,135.76,2024-09-21
219,P00219,Home,Europe,Organic,142.51,2024-08-19
220,P00220,Books,North America,Referral,76.44,2024-03-02
221,P00221,Home,Europe,Social Media,164.97,2024-05-06
222,P00222,Clothing,Asia,Paid Ads,98.56,2024-04-25
223,P00223,Electronics,Australia,Organic,33.11,2024-02-02
224,P00224,Clothing,North America,Paid Ads,17.38,2024-06-22
225,P00225,Electronics,North America,Organic,160.91,2024-01-11
226,P00226,Electronics,Europe,Email,81.35,2024-10-28
227,P00227,Toys,Asia,Social Media,39.3,2024-10-10
228,P00228,Clothing,Asia,Social Media,10.0,2024-04-27
229,P00229,Books,North America,Organic,80.21,2024-10-28
230,P00230,Home,North America,Referral,120.24,2024-04-22
231,P00231,Home,Europe,Organic,65.12,2024-01-04
232,P00232,Clothing,North America,Email,47.34,2024-02-06
233,P00233,Clothing,Asia,Paid Ads,72.53,2024-12-28
234,P00234,Clothing,Europe,Organic,162.16,2024-11-19
235,P00235,Electronics,Asia,Social Media,30.35,2024-01-31
236,P00236,Home,Europe,Social Media,67.91,2024-04-27
237,P00237,Electronics,Asia,Social Media,160.54,2024-02-04
238,P00238,Electronics,North America,Paid Ads,124.71,2024-01-17
239,P00239,Home,Asia,Paid Ads,108.96,2024-06-18
240,P00240,Electronics,North America,Social Media,67.58,2024-02-06
241,P00241,Toys,Europe,Social Media,101.53,2024-09-20
242,P00242,Toys,North America,Organic,73.11,2024-05-01
243,P00243,Toys,Europe,Paid Ads,57.03,2024-05-22
244,P00244,Clothing,North America,Organic,46.0,2024-12-08
245,P00245,Electronics,North America,Organic,139.2,2024-09-05
246,P00246,Toys,Australia,Social Media,96.98,2024-04-19
247,P00247,Clothing,North America,Organic,115.73,2024-10-03
248,P00248,Toys,Asia,Social Media,107.58,2024-03-08
249,P00249,Toys,Australia,Paid Ads,122.05,2024-10-19
250,P00250,Books,North America,Email,87.26,2024-10-22
251,P00251,Electronics,Europe,Paid Ads,75.92,2024-08-30
252,P00252,Clothing,North America,Email,59.24,2024-05-04
253,P00253,Books,North America,Paid Ads,29.3,2024-08-30
254,P00254,Clothing,Europe,Email,43.9,2024-07-27
255,P00255,Electronics,South America,Email,81.73,2024-04-07
256,P00256,Clothing,North America,Organic,19.85,2024-02-18
257,P00257,Toys,Europe,Social Media,30.89,2024-02-19
258,P00258,Home,Europe,Paid Ads,152.11,2024-12-03
259,P00259,Clothing,Asia,Organic,111.21,2024-08-08
260,P00260,Electronics,North America,Organic,77.41,2024-06-30
261,P00261,Home,Europe,Paid Ads,213.58,2024-08-04
262,P00262,Toys,Europe,Paid Ads,17.59,2024-07-29
263,P00263,Electronics,Europe,Organic,148.78,2024-08-27
264,P00264,Clothing,South America,Paid Ads,94.43,2024-01-28
265,P00265,Books,Asia,Social Media,139.25,2024-12-10
266,P00266,Home,North America,Social Media,105.45,2024-11-30
267,P00267,Home,Europe,Organic,10.0,2024-11-26
268,P00268,Home,North America,Email,104.77,2024-02-20
269,P00269,Clothing,North America,Email,116.78,2024-02-01
270,P00270,Electronics,Europe,Email,10.0,2024-07-25
271,P00271,Books,North America,Email,197.2,2024-06-22
272,P00272,Books,Europe,Paid Ads,115.56,2024-02-25
273,P00273,Books,Australia,Organic,133.6,2024-05-07
274,P00274,Toys,North America,Referral,41.72,2024-04-08
275,P00275,Clothing,South America,Organic,134.53,2024-04-07
276,P00276,Clothing,Europe,Social Media,154.48,2024-10-01
277,P00277,Home,Europe,Social Media,112.68,2024-08-17
278,P00278,Home,Asia,Email,99.53,2024-03-12
279,P00279,Home,North America,Paid Ads,55.32,2024-08-04
280,P00280,Home,Europe,Social Media,89.19,2024-04-03
281,P00281,Books,Europe,Social Media,74.4,2024-05-22
282,P00282,Clothing,North America,Paid Ads,128.6,2024-08-24
283,P00283,Clothing,South America,Organic,57.51,2024-05-07
284,P00284,Electronics,Asia,Social Media,128.23,2024-02-08
285,P00285,Clothing,North America,Social Media,58.05,2024-08-14
286,P00286,Electronics,North America,Paid Ads,86.88,2024-10-08
287,P00287,Clothing,Europe,Paid Ads,130.8,2024-02-20
288,P00288,Clothing,North America,Social Media,64.81,2024-01-26
289,P00289,Electronics,Europe,Email,132.53,2024-11-29
290,P00290,Clothing,North America,Paid Ads,127.65,2024-10-03
291,P00291,Electronics,Europe,Organic,86.45,2024-01-08
292,P00292,Electronics,North America,Paid Ads,158.09,2024-02-17
293,P00293,Books,North America,Organic,103.89,2024-05-01
294,P00294,Clothing,Europe,Paid Ads,155.11,2024-03-26
295,P00295,Electronics,Europe,Email,189.67,2024-07-27
296,P00296,Clothing,Australia,Social Media,87.93,2024-09-05
297,P00297,Home,Asia,Organic,132.25,2024-09-03
298,P00298,Electronics,North America,Organic,68.12,2024-04-19
299,P00299,Home,North America,Paid Ads,48.36,2024-07-24
300,P00300,Electronics,Asia,Social Media,90.23,2024-01-31
301,P00301,Electronics,South America,Paid Ads,31.87,2024-03-25
302,P00302,Clothing,Asia,Social Media,53.12,2024-07-13
303,P00303,Clothing,North America,Organic,129.57,2024-01-02
304,P00304,Home,Australia,Social Media,74.32,2024-07-18
305,P00305,Home,North America,Organic,135.53,2024-05-15
306,P00306,Toys,Asia,Organic,114.97,2024-08-20
307,P00307,Clothing,South America,Email,192.56,2024-05-26
308,P00308,Clothing,North America,Social Media,126.22,2024-08-04
309,P00309,Home,South America,Organic,155.71,2024-12-22
310,P00310,Electronics,North America,Paid Ads,120.09,2024-10-11
311,P00311,Clothing,Australia,Email,115.57,2024-12-04
312,P00312,Electronics,North America,Social Media,158.24,2024-09-06
313,P00313,Electronics,Australia,Social Media,133.44,2024-03-20
314,P00314,Toys,North America,Paid Ads,110.5,2024-04-07
315,P00315,Books,Asia,Email,110.28,2024-05-31
316,P00316,Home,Europe,Social Media,126.91,2024-04-21
317,P00317,Clothing,Europe,Organic,66.43,2024-01-30
318,P00318,Electronics,North America,Organic,64.31,2024-10-23
319,P00319,Electronics,Asia,Social Media,171.27,2024-10-04
320,P00320,Electronics,North America,Referral,193.22,2024-02-01
321,P00321,Clothing,Europe,Organic,53.56,2024-06-09
322,P00322,Home,North America,Organic,66.55,2024-01-30
323,P00323,Home,Australia,Email,157.13,2024-01-26
324,P00324,Electronics,North America,Paid Ads,126.68,2024-10-26
325,P00325,Toys,North America,Social Media,133.82,2024-09-01
326,P00326,Home,North America,Social Media,144.83,2024-09-14
327,P00327,Clothing,Europe,Social Media,87.96,2024-09-28
328,P00328,Home,North America,Organic,116.5,2024-03-21
329,P00329,Clothing,Europe,Organic,112.61,2024-01-30
330,P00330,Electronics,Asia,Organic,57.08,2024-09-17
331,P00331,Clothing,Asia,Social Media,115.75,2024-02-11
332,P00332,Home,Europe,Organic,161.89,2024-04-05
333,P00333,Electronics,North America,Organic,83.29,2024-02-05
334,P00334,Electronics,Europe,Email,107.63,2024-10-31
335,P00335,Electronics,North America,Paid Ads,110.34,2024-02-04
336,P00336,Electronics,Asia,Email,85.77,2024-12-11
